New-York 2019
Kovinic_Danka Hertel_Anna
Graham_Alexa Murta_Ines
32emes de finale
Pulchartova_Laetitia Trevisan_Martina
Sabalenka_Aryna Prisacariu_Andreea
Meyer_Luisa Hennemann_Caijsa
Vroome_Indy Hosonuma_Chisa
Aney_Jessie Brengle_Madison
Zacarias_Marcela Williams_Venus
Zantedeschi_Aurora Bains_Naiktha
Payola_Julia Katic_Vlada
Bonaventure_Ysaline Ferro_Fiona
Vecic_Alexandra Herdzelas_Dea
Cascino_Estelle Pliskova_Karolina
Stearns_Peyton Hibino_Nao
Dentoni_Corinna Proctor_Lauren
Ganz_Fiona Muhammad_Asia
Yastremska_Dayana Olmos_Giuliana
KrejCikova_Barbora Fernandez_Leylah
Price_Gabriella Matviyenko_Lisa
Navarro_Emma Arakawa_Haruna
Cepede_Veronica Han_Na-lae
Raggi_Angelica Douglas_Ellie
Shoshyna_Anastasiya Kawaguchi_Natsumi
Yashina_Ekaterina Potapova_Anastasia
Kostyuk_Marta Lodikova_Daria
Vekic_Donna Ureke_Anna
Carrillo_Alba Korpatsch_Tamara
Giovine_Claudia Ostlund_Fanny
Andreescu_Bianca Leykina_Polina
Vangelova_Ani Pellicano_Helene
Volynets_Katie Papamichail_Despina
Shimizu_Ayano Linette_Magda
Bechri_Chiraz Werner_Caroline
Kovinic_Danka Graham_Alexa
16emes de finale
Sabalenka_Aryna Pulchartova_Laetitia
Meyer_Luisa Vroome_Indy
Zacarias_Marcela Aney_Jessie
Payola_Julia Zantedeschi_Aurora
Vecic_Alexandra Bonaventure_Ysaline
Cascino_Estelle Stearns_Peyton
Ganz_Fiona Dentoni_Corinna
KrejCikova_Barbora Yastremska_Dayana
Navarro_Emma Price_Gabriella
Cepede_Veronica Raggi_Angelica
Shoshyna_Anastasiya Yashina_Ekaterina
Vekic_Donna Kostyuk_Marta
Giovine_Claudia Carrillo_Alba
Vangelova_Ani Andreescu_Bianca
Shimizu_Ayano Volynets_Katie
Kovinic_Danka Bechri_Chiraz
8emes de finale
Sabalenka_Aryna Meyer_Luisa
Zacarias_Marcela Payola_Julia
Vecic_Alexandra Cascino_Estelle
Ganz_Fiona KrejCikova_Barbora
Navarro_Emma Cepede_Veronica
Vekic_Donna Shoshyna_Anastasiya
Vangelova_Ani Giovine_Claudia
Shimizu_Ayano Kovinic_Danka
quarts de finale
Sabalenka_Aryna Zacarias_Marcela
Vecic_Alexandra Ganz_Fiona
Vekic_Donna Navarro_Emma
Vangelova_Ani Shimizu_Ayano
demi-finales
Vecic_Alexandra Sabalenka_Aryna
Vekic_Donna Vangelova_Ani
finale
Vekic_Donna Vecic_Alexandra
Paris 2021
64emes de finale
Noel_Mallaurie Sekulic_Sarah-Rebecca
Schunk_Nastasja Orpana_Oona
Dunne_Katy Andreeva_Erika
Cascino_Estelle Boulter_Katie
HoraCkova_Gabriela Yamaguchi_Mei
Hobgarski_Katharina Thandi_Karman
Price_Gabriella Salvi_Linda
Pulchartova_Laetitia Drummy_Georgia
Flink_Varvara Vlasselaer_Clara
Plipuech_Peangtarn Halep_Simona
Rogers_Shelby Ruffer_Lena
Hanatani_Nagi Armitano_Mathilde
Vecic_Alexandra Pereira_Teliana
Hosogi_Sakura Bozovic_Alexandra
Amanmuradova_Akgul Liu_Fangzhou
Maristany_Guiomar Yashina_Ekaterina
Karatancheva_Lia Laboutkova_Aneta
Benoit_Marie Klaffner_Melanie
CvetkoviC_Tina Ozeki_Michika
Hoste_Claudia Sonmez_Zeynep
Sanz-Llaneza_Almudena Minnen_Greet
Juvan_Kaja Herrmann_Sina
Garcia_Caroline Juhaszova_Vivien
Grana_Thaisa Liauw_Noa
Vanlangendonck_Eliessa Dalakishvili_Mariam
Brantmeier_Reese Falkowska_Weronika
Plazas_Jessica Markova_Johana
Morisaki_Kanako Chiesa_Deborah
Whittle_Sophia Steur_Julyette
Gavrilova_Daria Nguyen_Lucie
Jakupovic_Dalila Branstine_Carson
Pislak_Manca Gadient_Nicole
Sasnovich_Aliaksandra Olyanovskaya_Valeriya
Anisimova_Amanda Karolina_Anna
Grymalska_Anastasia Fruhvirtova_Linda
Grabher_Julia Ninomiya_Makoto
Andreescu_Bianca Helmi_Olga
Ushijima_Risa Bondarenko_Kateryna
Ruzic_Antonia Gracheva_Varvara
Gjorcheska_Lina Williams_Venus
Tanaka_Yuuki Liu_Chang
Hosonuma_Chisa Podoroska_Nadia
Okamura_Kyoka Lacasse_Raphaelle
Kanev_Kathleen Hozumi_Eri
Kimmelmann_Julia MaleCkova_Jesika
Zavatska_Katarina Rodriguez_Victoria
Abduraimova_Nigina Portillo_Maria
Vroome_Indy Karatantcheva_Sesil
Dart_Harriet Estable_Julieta
Swiatek_Iga Janicijevic_Selena
Wirges_Angelina Kolzer_Romy
Eala_Alexandra Hibino_Nao
Jimenez_Victoria Lepchenko_Varvara
Al-Nabhani_Fatma Heisen_Vivian
Chwalinska_Maja Konjuh_Ana
Zidansek_Tamara Kerber_Angelique
Serban_Raluca Stephens_Sloane
Samavati_Sofia Vikhlyantseva_Natalia
Kajuru_Ange Kania_Paula
Shapatava_Sofia Klincov_Bojana
Bondarenko_Maria Haas_Barbara
Gillan_Alice Lottner_Antonia
Parres_Olga Kuzmova_Katarina
Celik_Susanne Guillermo_Lorraine
32emes de finale
Schunk_Nastasja Noel_Mallaurie
Dunne_Katy Cascino_Estelle
HoraCkova_Gabriela Hobgarski_Katharina
Pulchartova_Laetitia Price_Gabriella
Flink_Varvara Plipuech_Peangtarn
Hanatani_Nagi Rogers_Shelby
Hosogi_Sakura Vecic_Alexandra
Amanmuradova_Akgul Maristany_Guiomar
Benoit_Marie Karatancheva_Lia
CvetkoviC_Tina Hoste_Claudia
Sanz-Llaneza_Almudena Juvan_Kaja
Grana_Thaisa Garcia_Caroline
Brantmeier_Reese Vanlangendonck_Eliessa
Morisaki_Kanako Plazas_Jessica
Gavrilova_Daria Whittle_Sophia
Jakupovic_Dalila Pislak_Manca
Sasnovich_Aliaksandra Anisimova_Amanda
Grabher_Julia Grymalska_Anastasia
Ushijima_Risa Andreescu_Bianca
Ruzic_Antonia Gjorcheska_Lina
Hosonuma_Chisa Tanaka_Yuuki
Okamura_Kyoka Kanev_Kathleen
Kimmelmann_Julia Zavatska_Katarina
Abduraimova_Nigina Vroome_Indy
Dart_Harriet Swiatek_Iga
Eala_Alexandra Wirges_Angelina
Al-Nabhani_Fatma Jimenez_Victoria
Chwalinska_Maja Zidansek_Tamara
Serban_Raluca Samavati_Sofia
Shapatava_Sofia Kajuru_Ange
Bondarenko_Maria Gillan_Alice
Parres_Olga Celik_Susanne
16emes de finale
Schunk_Nastasja Dunne_Katy
HoraCkova_Gabriela Pulchartova_Laetitia
Flink_Varvara Hanatani_Nagi
Amanmuradova_Akgul Hosogi_Sakura
Benoit_Marie CvetkoviC_Tina
Grana_Thaisa Sanz-Llaneza_Almudena
Morisaki_Kanako Brantmeier_Reese
Jakupovic_Dalila Gavrilova_Daria
Grabher_Julia Sasnovich_Aliaksandra
Ushijima_Risa Ruzic_Antonia
Okamura_Kyoka Hosonuma_Chisa
Kimmelmann_Julia Abduraimova_Nigina
Eala_Alexandra Dart_Harriet
Al-Nabhani_Fatma Chwalinska_Maja
Shapatava_Sofia Serban_Raluca
Bondarenko_Maria Parres_Olga
8emes de finale
HoraCkova_Gabriela Schunk_Nastasja
Flink_Varvara Amanmuradova_Akgul
Grana_Thaisa Benoit_Marie
Morisaki_Kanako Jakupovic_Dalila
Grabher_Julia Ushijima_Risa
Okamura_Kyoka Kimmelmann_Julia
Al-Nabhani_Fatma Eala_Alexandra
Shapatava_Sofia Bondarenko_Maria
quarts de finale
HoraCkova_Gabriela Flink_Varvara
Grana_Thaisa Morisaki_Kanako
Grabher_Julia Okamura_Kyoka
Al-Nabhani_Fatma Shapatava_Sofia
demi-finales
Grana_Thaisa HoraCkova_Gabriela
Grabher_Julia Al-Nabhani_Fatma
finale
Grabher_Julia Grana_Thaisa
